id,parking,bathrooms,bedrooms,seller,location,status,area,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price,price_per_m2,area_per_br,prk,bdrm,logPrice
/apartamentos-venta-piantini/1286053/,1,2,1,KW Capital,Piantini,New,76,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,227000,2986.842105263158,76,1,1,12.332705296463539
/apartamentos-venta-piantini/1286040/,4,4.5,4,Innova By Bello Jaquez,Piantini,Used,336,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,340000,1011.904761904762,84,4 or more,4 or more,12.736700896592344
/apartamentos-venta-piantini/1278869/,2,2,3,Premium Real Estate,Piantini,Used,180,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,200000,1111.111111111111,60,2,3,12.206072645530174
/apartamentos-venta-piantini/1278641/,2,2,3,Premium Real Estate,Piantini,Used,180,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,200000,1111.111111111111,60,2,3,12.206072645530174
/apartamentos-venta-piantini/1262906/,NA,3.5,3,Premium Real Estate,Piantini,Used,280,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,300000,1071.428571428571,93.33333333333331,NA,3,12.611537753638338
/apartamentos-venta-piantini/1276645/,2,3.5,3,Remax Blu,Piantini,Used,230,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,270000,1173.9130434782608,76.66666666666667,2,3,12.506177237980511
/apartamentos-venta-piantini/1285363/,2,2,3,Plusval Puente Azul,Piantini,Rebuilding,176,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,147008.547008547,835.2758352758352,58.666666666666664,2,3,11.898246006985925
/apartamentos-venta-piantini/1283366/,2,3.5,3,Remax Metropolitana,Piantini,New,190,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,350000,1842.1052631578948,63.333333333333336,2,3,12.765688433465597
/apartamentos-venta-piantini/1278675/,2,2,3,Premium Real Estate,Piantini,Used,155,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,200000,1290.3225806451612,51.666666666666664,2,3,12.206072645530174
/apartamentos-venta-piantini/1282653/,2,2.5,2,Algonovo Real Estate,Piantini,Used,123,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,310000,2520.3252032520327,61.5,2,2,12.644327576461329
/apartamentos-venta-piantini/1279138/,2,2,3,Premium Real Estate,Piantini,Used,153,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,200000,1307.18954248366,51,2,3,12.206072645530174
/apartamentos-venta-piantini/1266633/,2,3.5,3,Seekers Inmobiliaria,Piantini,Building,290,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,590000,2034.4827586206895,96.66666666666669,2,3,13.287877815881902
/apartamentos-venta-piantini/1283418/,2,3.5,3,Inmobiliaria Grupal,Piantini,Used,148,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,325000,2195.945945945946,49.333333333333336,2,3,12.691580461311874
/apartamentos-venta-piantini/1283264/,3,3.5,3,Inmobiliaria Grupal,Piantini,Used,222,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,360000,1621.6216216216217,74,3,3,12.793859310432293
/apartamentos-venta-piantini/1283273/,2,3.5,3,Inmobiliaria Grupal,Piantini,Used,225,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,345000,1533.3333333333333,75,2,3,12.751299696013497
/apartamentos-venta-piantini/1282649/,2,2.5,2,Algonovo Real Estate,Piantini,Used,123,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,310000,2520.3252032520327,61.5,2,2,12.644327576461329
/apartamentos-venta-piantini/1263773/,3,3.5,3,Algonovo Real Estate,Piantini,Building,185,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,408825,2209.864864864865,61.666666666666664,3,3,12.921042470600591
/apartamentos-venta-piantini/1282667/,2,2.5,2,Algonovo,Piantini,Used,123,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,310000,2520.3252032520327,61.5,2,2,12.644327576461329
/apartamentos-venta-piantini/1258399/,1,1.5,1,Ciudad Inmobiliaria,Piantini,In blueprint,77,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,184000,2389.6103896103896,77,1,1,12.122691036591123
/apartamentos-venta-y-alquiler-piantini/1232855/,1,1.5,1,Ciudad Inmobiliaria,Piantini,New,87,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,255000,2931.0344827586205,87,1,1,12.449018824140563
/apartamentos-venta-piantini/1285126/,2,2.5,2,Marco Rivero,Piantini,New,155,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,335000,2161.290322580646,77.5,2,2,12.721885810807203
/apartamentos-venta-piantini/1285782/,3,4.5,3,Inmobiliaria Grupal,Piantini,Used,358,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,500000,1396.6480446927374,119.33333333333331,3,3,13.122363377404328
/apartamentos-venta-piantini/1280679/,3,3.5,3,Inmobiliaria Grupal,Piantini,Used,185,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,360000,1945.945945945946,61.666666666666664,3,3,12.793859310432293
/apartamentos-venta-piantini/1283767/,2,2.5,2,Algonovo Real Estate,Piantini,Used,123,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,310000,2520.3252032520327,61.5,2,2,12.644327576461329
/apartamentos-venta-piantini/1253043/,3,3.5,3,Algonovo Real Estate,Piantini,In blueprint,175,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,358750,2050,58.333333333333336,3,3,12.790381046055968
/apartamentos-venta-piantini/1252224/,3,3.5,3,Algonovo Real Estate,Piantini,New,336,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,650000,1934.5238095238096,112,3,3,13.38472764187182
/apartamentos-venta-piantini/1262564/,4,3.5,3,Vivenzas Real Estate,Piantini,New,375,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,775000,2066.6666666666665,125,4 or more,3,13.560618308335483
/apartamentos-venta-y-alquiler-piantini/1284844/,1,1.5,1,Vivenzas Real Estate,Piantini,New,65,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,180000,2769.230769230769,65,1,1,12.100712129872347
/apartamentos-venta-piantini/1268292/,1,1.5,1,Vivenzas Real Estate,Piantini,Building,83,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,295000,3554.2168674698796,83,1,1,12.594730635321957
