id,parking,bathrooms,bedrooms,seller,location,status,area,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price,price_per_m2,area_per_br
/apartamentos-venta-piantini/1260895/,1,1.5,1,Paez Luxury Real Estate,Piantini,New,73,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,235000,3219.178082191781,73
/apartamentos-venta-piantini/1277984/,2,2.5,2,Paez Luxury Real Estate,Piantini,New,153,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,355000,2320.2614379084966,76.5
/apartamentos-venta-piantini/1260898/,3,3.5,3,Paez Luxury Real Estate,Piantini,New,415,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,915000,2204.8192771084337,138.33333333333334
/apartamentos-venta-piantini/1283291/,1,2,1,Paez Luxury Real Estate,Piantini,New,86,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,200000,2325.5813953488373,86
/apartamentos-venta-piantini/1277409/,2,2,2,Time Homes Inmobiliaria,Piantini,Used,137,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,215000,1569.3430656934306,68.5
/apartamentos-venta-piantini/1284026/,3,3.5,3,Aurelio Marmolejos,Piantini,Used,340,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,450000,1323.5294117647059,113.33333333333333
/apartamentos-venta-piantini/1281357/,3,4.5,4,Aurelio Marmolejos,Piantini,Used,322,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,500000,1552.7950310559006,80.5
/apartamentos-venta-piantini/1283701/,2,3.5,3,Aurelio Marmolejos,Piantini,Used,192,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,370000,1927.0833333333333,64
/apartamentos-venta-piantini/1283811/,1,1.5,1,Aurelio Marmolejos,Piantini,Used,82,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,260000,3170.731707317073,82
/apartamentos-venta-piantini/1277832/,2,2.5,2,Aurelio Marmolejos,Piantini,New,105,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,360000,3428.5714285714284,52.5
/apartamentos-venta-piantini/1277760/,2,3.5,3,Inmobiliaria Bevistam,Piantini,Used,247,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,245000,991.9028340080972,82.33333333333333
/apartamentos-venta-piantini/1273372/,3,3.5,3,Inmobiliaria Bevistam,Piantini,Used,324,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,658000,2030.8641975308642,108
/apartamentos-venta-piantini/1283763/,2,2,2,Inmobiliaria Bevistam,Piantini,New,108,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,340000,3148.1481481481483,54
/apartamentos-venta-piantini/1272825/,2,2.5,2,Inmobiliaria Bevistam,Piantini,New,130,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,375000,2884.6153846153848,65
/apartamentos-venta-piantini/1277762/,2,2.5,3,Inmobiliaria Bevistam,Piantini,Used,200,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,220000,1100,66.66666666666667
/apartamentos-venta-piantini/1277766/,2,3.5,3,Inmobiliaria Bevistam,Piantini,Used,240,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,270000,1125,80
/apartamentos-venta-piantini/1278943/,3,3.5,3,Inmobiliaria Bevistam,Piantini,Used,400,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,720000,1800,133.33333333333334
